IBOV - Carteira Mai. a Ago. 2026
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.273.841.357;2,380;
ALOS3;ALLOS;ON  ED  NM;478.558.715;0,563;
ASAI3;ASSAI;ON      NM;1.338.623.499;0,455;
AURE3;AUREN;ON      NM;317.799.925;0,169;
AXIA3;AXIA ENERGIA;ON      N1;1.863.816.444;4,438;
AXIA6;AXIA ENERGIA;PNB     N1;266.311.915;0,702;
AZZA3;AZZAS 2154;ON      NM;109.571.260;0,091;
B3SA3;B3;ON      NM;4.997.059.816;3,457;
BBAS3;BRASIL;ON  ATZ NM;2.842.496.541;2,423;
BBDC3;BRADESCO;ON      N1;1.464.429.403;0,940;
BBDC4;BRADESCO;PN      N1;5.100.889.966;3,782;
BBSE3;BBSEGURIDADE;ON      NM;616.248.544;0,801;
BEEF3;MINERVA;ON  ED  NM;454.804.863;0,066;
BPAC11;BTGP BANCO;UNT     N2;1.194.624.560;2,720;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,221;
BRAV3;BRAVA;ON  ED  NM;462.883.017;0,340;
BRKM5;BRASKEM;PNA     N1;265.709.734;0,093;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,089;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,899;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,295;
COGN3;COGNA ON;ON  ED  NM;1.915.914.094;0,204;
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,353;
CPLE3;COPEL;ON  EJ  NM;2.969.406.694;1,812;
CSAN3;COSAN;ON      NM;2.242.671.999;0,434;
CSMG3;COPASA;ON      NM;188.467.895;0,391;
CSNA3;SID NACIONAL;ON;727.975.012;0,174;
CURY3;CURY S/A;ON      NM;160.988.231;0,186;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,409;
CYRE3;CYRELA REALT;ON  ATZ NM;281.609.283;0,254;
DIRR3;DIRECIONAL;ON      NM;327.091.595;0,161;
EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,484;
EMBJ3;EMBRAER;ON      NM;711.833.141;2,104;
ENEV3;ENEVA;ON      NM;1.913.352.180;1,988;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,660;
EQTL3;EQUATORIAL;ON      NM;1.247.728.993;2,026;
FLRY3;FLEURY;ON      NM;447.150.822;0,276;
GGBR4;GERDAU;PN      N1;1.258.208.269;1,092;
GOAU4;GERDAU MET;PN      N1;830.837.767;0,317;
HAPV3;HAPVIDA;ON      NM;271.662.290;0,129;
HYPE3;HYPERA;ON      NM;321.083.946;0,278;
IGTI11;IGUATEMI S.A;UNT     N1;205.800.982;0,217;
ISAE4;ISA ENERGIA;PN  ED  N1;415.568.772;0,471;
ITSA4;ITAUSA;PN      N1;5.970.738.360;3,189;
ITUB4;ITAUUNIBANCO;PN      N1;5.050.269.111;8,367;
KLBN11;KLABIN S/A;UNT     N2;804.572.623;0,540;
LREN3;LOJAS RENNER;ON      NM;982.593.716;0,513;
MBRF3;MARFRIG;ON      NM;761.175.338;0,509;
MGLU3;MAGAZ LUIZA;ON  ED  NM;373.155.063;0,118;
MOTV3;MOTIVA SA;ON  ED  NM;1.002.196.725;0,615;
MRVE3;MRV;ON      NM;374.681.353;0,099;
MULT3;MULTIPLAN;ON      N2;320.022.221;0,390;
NATU3;NATURA;ON      NM;838.359.453;0,328;
PETR3;PETROBRAS;ON  ERJ N2;2.237.877.167;4,700;
PETR4;PETROBRAS;PN  ERJ N2;4.410.960.450;8,308;
POMO4;MARCOPOLO;PN  EJ  N2;728.266.241;0,181;
PRIO3;PRIO;ON  ATZ NM;757.265.605;1,930;
PSSA3;PORTO SEGURO;ON      NM;178.825.403;0,342;
RADL3;RAIADROGASIL;ON      NM;1.313.915.830;1,106;
RAIL3;RUMO S.A.;ON  ED  NM;1.221.155.293;0,737;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,607;
RECV3;PETRORECSA;ON      NM;274.624.898;0,137;
RENT3;LOCALIZA;ON      NM;978.479.038;1,724;
SANB11;SANTANDER BR;UNT EJ;360.347.199;0,402;
SBSP3;SABESP;ON  EB  NM;2.870.627.990;3,652;
SLCE3;SLC AGRICOLA;ON      NM;220.403.658;0,144;
SMFT3;SMART FIT;ON      NM;556.651.316;0,369;
SUZB3;SUZANO S.A.;ON  ED  NM;612.918.471;1,031;
TAEE11;TAESA;UNT ED  N2;218.568.234;0,357;
TIMS3;TIM;ON      NM;777.451.080;0,768;
TOTS3;TOTVS;ON      NM;533.997.411;0,653;
UGPA3;ULTRAPAR;ON      NM;1.067.870.496;1,227;
USIM5;USIMINAS;PNA     N1;518.256.757;0,165;
VALE3;VALE;ON      NM;3.535.764.048;11,015;
VAMO3;VAMOS;ON      NM;448.052.066;0,068;
VBBR3;VIBRA;ON      NM;1.192.004.780;1,523;
VIVA3;VIVARA S.A.;ON      NM;123.698.325;0,123;
VIVT3;TELEF BRASIL;ON  EJ;707.125.712;1,065;
WEGE3;WEG;ON      NM;1.485.954.732;2,558;
YDUQ3;YDUQS PART;ON      NM;261.365.845;0,099;
Quantidade Teórica Total;;;93.123.685.158;100,000
Redutor;;;13.911.567,59666672
